iter	Passed	Remaining
580	3239	2335
581	3244	2330
582	3249	2324
583	3255	2318
584	3260	2312
585	3265	2307
586	3270	2301
587	3276	2295
588	3281	2289
589	3286	2283
590	3291	2278
591	3297	2272
592	3302	2266
593	3307	2260
594	3313	2255
595	3318	2249
596	3322	2243
597	3328	2237
598	3333	2231
599	3338	2225
600	3343	2219
601	3348	2213
602	3353	2207
603	3358	2201
604	3363	2195
605	3368	2189
606	3372	2183
607	3377	2177
608	3382	2171
609	3387	2165
610	3392	2160
611	3397	2154
612	3402	2148
613	3408	2142
614	3413	2136
615	3418	2130
616	3424	2125
617	3429	2119
618	3434	2114
619	3440	2108
620	3445	2102
621	3450	2096
622	3455	2090
623	3460	2084
624	3465	2079
625	3470	2073
626	3475	2067
627	3481	2062
628	3486	2056
629	3491	2050
630	3497	2045
631	3502	2039
632	3507	2033
633	3512	2027
634	3517	2022
635	3522	2016
636	3527	2010
637	3532	2004
638	3536	1998
639	3542	1992
640	3546	1986
641	3551	1980
642	3556	1974
643	3561	1968
644	3566	1962
645	3570	1956
646	3576	1951
647	3581	1945
648	3586	1939
649	3592	1934
650	3597	1928
651	3602	1922
652	3607	1916
653	3612	1911
654	3617	1905
655	3622	1899
656	3627	1894
657	3633	1888
658	3638	1882
659	3643	1877
660	3649	1871
661	3654	1865
662	3659	1860
663	3664	1854
664	3669	1848
665	3674	1842
666	3679	1837
667	3685	1831
668	3690	1825
669	3695	1820
670	3700	1814
671	3706	1809
672	3711	1803
673	3716	1797
674	3721	1791
675	3726	1786
676	3732	1780
677	3737	1774
678	3742	1769
679	3746	1763
680	3751	1757
681	3756	1751
682	3761	1745
683	3766	1740
684	3771	1734
685	3776	1728
686	3781	1722
687	3786	1717
688	3791	1711
689	3796	1705
690	3801	1699
691	3806	1694
692	3810	1688
693	3815	1682
694	3820	1676
695	3825	1670
696	3830	1665
697	3835	1659
698	3841	1654
699	3846	1648
700	3851	1642
701	3856	1637
702	3861	1631
703	3866	1625
704	3871	1619
705	3875	1614
706	3880	1608
707	3885	1602
708	3890	1596
709	3895	1591
710	3900	1585
711	3905	1579
712	3910	1574
713	3915	1568
714	3920	1562
715	3925	1557
716	3930	1551
717	3935	1545
718	3940	1539
719	3945	1534
720	3950	1528
721	3955	1522
722	3960	1517
723	3965	1511
724	3970	1506
725	3975	1500
726	3981	1494
727	3986	1489
728	3991	1483
729	3997	1478
730	4002	1472
731	4007	1467
732	4012	1461
733	4017	1456
734	4023	1450
735	4028	1445
736	4033	1439
737	4039	1433
738	4044	1428
739	4050	1423
740	4055	1417
741	4060	1411
742	4065	1406
743	4071	1401
744	4077	1395
745	4082	1390
746	4088	1384
747	4093	1379
748	4099	1373
749	4103	1367
750	4108	1362
751	4113	1356
752	4118	1350
753	4123	1345
754	4128	1339
755	4134	1334
756	4138	1328
757	4144	1323
758	4149	1317
759	4154	1311
760	4159	1306
761	4164	1300
762	4169	1295
763	4174	1289
764	4179	1283
765	4184	1278
766	4188	1272
767	4193	1266
768	4198	1261
769	4203	1255
770	4208	1250
771	4214	1244
772	4219	1239
773	4224	1233
774	4230	1228
775	4235	1222
776	4240	1217
777	4245	1211
778	4251	1206
779	4256	1200
780	4261	1194
781	4267	1189
782	4272	1184
783	4278	1178
784	4283	1173
785	4288	1167
786	4294	1162
787	4299	1156
788	4305	1151
789	4310	1145
790	4315	1140
791	4320	1134
792	4325	1129
793	4331	1123
794	4335	1118
795	4340	1112
796	4345	1106
797	4350	1101
798	4355	1095
799	4360	1090
800	4365	1084
801	4370	1079
802	4375	1073
803	4380	1067
804	4385	1062
805	4390	1056
806	4395	1051
807	4400	1045
808	4406	1040
809	4411	1034
810	4416	1029
811	4421	1023
812	4427	1018
813	4432	1012
814	4437	1007
815	4441	1001
816	4447	996
817	4452	990
818	4456	984
819	4461	979
820	4466	973
821	4471	968
822	4476	962
823	4481	957
824	4486	951
825	4491	946
826	4496	940
827	4501	935
828	4506	929
829	4510	923
830	4515	918
831	4520	912
832	4525	907
833	4530	901
834	4535	896
835	4540	890
836	4545	885
837	4550	879
838	4554	874
839	4560	868
840	4565	863
841	4570	857
842	4575	852
843	4580	846
844	4585	841
845	4590	835
846	4595	830
847	4600	824
848	4605	819
849	4610	813
850	4615	808
851	4619	802
852	4624	796
853	4629	791
854	4634	785
855	4639	780
856	4644	774
857	4648	769
858	4653	763
859	4659	758
860	4664	753
861	4669	747
862	4674	742
863	4679	736
864	4684	731
865	4689	725
866	4694	720
867	4700	714
868	4705	709
869	4709	703
870	4714	698
871	4719	692
872	4724	687
873	4729	681
874	4734	676
875	4739	670
876	4744	665
877	4748	659
878	4753	654
879	4758	648
880	4763	643
881	4768	637
882	4773	632
883	4778	627
884	4783	621
885	4788	616
886	4792	610
887	4797	605
888	4802	599
889	4807	594
890	4811	588
891	4816	583
892	4821	577
893	4825	572
894	4830	566
895	4835	561
896	4839	555
897	4843	550
898	4848	544
899	4853	539
900	4857	533
901	4862	528
902	4867	522
903	4871	517
